,FNR,FPR,AUTOMATED,REJECT_TRUE,threshold_for_10_model,threshold__for_3_model
89,1.8,19.16,76.78,76.69,0.01,0.6013422818791946
90,1.8,19.16,76.78,76.69,0.01,0.6079865771812081
91,1.8,19.16,76.78,76.69,0.01,0.6146308724832215
92,1.8,19.16,76.78,76.69,0.01,0.6212751677852348
93,1.8,19.16,76.78,76.69,0.01,0.6279194630872483
94,1.8,19.16,76.78,76.69,0.01,0.6345637583892617
95,1.8,19.16,76.78,76.69,0.01,0.6412080536912752
96,1.8,19.16,76.78,76.69,0.01,0.6478523489932886
97,1.8,19.16,76.78,76.69,0.01,0.654496644295302
98,1.8,19.16,76.78,76.69,0.01,0.6611409395973155
99,1.8,19.16,76.78,76.69,0.01,0.6677852348993288
100,1.8,19.16,76.78,76.69,0.01,0.6744295302013423
101,1.8,19.16,76.78,76.69,0.01,0.6810738255033557
102,1.8,19.16,76.78,76.69,0.01,0.6877181208053691
103,1.8,19.16,76.78,76.69,0.01,0.6943624161073826
104,1.8,19.16,76.78,76.69,0.01,0.701006711409396
105,1.8,19.16,76.78,76.69,0.01,0.7076510067114093
106,1.8,19.16,76.78,76.69,0.01,0.7142953020134228
107,1.8,19.16,76.78,76.69,0.01,0.7209395973154362
108,1.8,19.16,76.78,76.69,0.01,0.7275838926174496
109,1.8,19.16,76.78,76.69,0.01,0.7342281879194631
110,1.8,19.16,76.78,76.69,0.01,0.7408724832214765
111,1.8,19.16,76.78,76.69,0.01,0.74751677852349
112,1.8,19.16,76.78,76.69,0.01,0.7541610738255033
113,1.8,19.16,76.78,76.69,0.01,0.7608053691275167
114,1.8,19.16,76.78,76.69,0.01,0.7674496644295302
115,1.8,19.16,76.78,76.69,0.01,0.7740939597315436
116,1.8,19.16,76.78,76.69,0.01,0.7807382550335571
117,1.8,19.16,76.78,76.69,0.01,0.7873825503355705
118,1.8,19.16,76.78,76.69,0.01,0.7940268456375839
119,1.8,19.16,76.78,76.69,0.01,0.8006711409395973
120,1.8,19.16,76.78,76.69,0.01,0.8073154362416107
121,1.8,19.16,76.78,76.69,0.01,0.8139597315436241
122,1.8,19.16,76.78,76.69,0.01,0.8206040268456376
123,1.8,19.16,76.78,76.69,0.01,0.827248322147651
124,1.8,19.16,76.78,76.69,0.01,0.8338926174496644
125,1.8,19.16,76.78,76.69,0.01,0.8405369127516779
126,1.8,19.16,76.78,76.69,0.01,0.8471812080536912
